price_eur;boat_type;year_built;condition;length_m;displacement_kg;certified_number_of_people;number_of_cabins;number_of_beds;fuel_capacity_l;engine_hours_h;number_of_views_last_7_days
49900;Motor Yacht;2006;well-groomed;9;3500;9;1;4;300;200;301
49900;Motor Yacht;1987;well-groomed;10,5;8000;8;1;6;200;3100;216
49900;Cabin Boat;2016;very good;6,55;1950;7;1;2;200;320;214
49950;Sport Boat;2002;very good;8,17;2132;6;1;2;265;289;388
494000;Motor Yacht;2019;new;13,43;10520;10;3;5;1170;59;81
495000;Flybridge;2018;as new;13,2;8960;12;3;6;1000;89;114
495000;Motor Yacht;2016;as new;15;40;4;2;4;1200;380;199
498000;Offshore Boat;2007;as new;15,37;9770;4;1;4;1100;56;271
53000;Motor Yacht;1967;well-groomed;13,8;18000;6;2;4;900;7200;232
539000;Hardtop;2008;good;15,83;15000;10;3;6;2400;500;129
55000;Cabin Boat;2011;very good;9,11;3600;10;1;4;440;280;254
55000;Cabin Boat;2001;very good;11,77;6500;10;3;5;600;878;203
55000;Trawler;2004;very good;7,7;2200;10;1;1;100;960;183
55000;Motor Yacht;2008;very good;9,8;5000;9;1;1;500;650;352
559500;Motor Yacht;2006;very good;18,28;34500;10;3;6;4500;637;51
58000;Trawler;1991;very good;10,4;7000;6;3;7;300;1600;255
58000;Motor Yacht;1989;good;12,8;11100;10;1;4;1200;850;307
58000;Motor Yacht;2001;very good;8,25;2500;8;2;2;245;1000;478
58000;Cabin Boat;2008;very good;8,6;4000;10;2;2;480;725;177
585000;Motor Yacht;2016;used;13,9;10000;12;1;4;1200;111;204
59000;Motor Yacht;1976;as new;12;12000;12;2;6;600;3763;318
59500;Motor Yacht;1978;as new;11,44;9500;12;2;6;1200;5120;117
59500;Sport Boat;2013;as new;7,25;1700;7;1;2;225;100;184
595000;Mega Yacht;2008;very good;23,47;42000;12;4;8;4000;730;117
599000;Motor Yacht;2005;as new;18,67;25380;12;4;7;3140;820;75
599000;Hardtop;2014;very good;16,2;21000;10;2;4;2000;450;157
6900;Cabin Boat;1981;used;6,2;1000;6;1;1;110;650;154
6950000;Mega Yacht;1998;very good;47;40000;12;5;7;60000;1100;597
60000;Flybridge;1976;good;13,1;16000;7;2;7;1600;4200;173
61000;Sport Boat;2006;very good;9,5;4500;8;2;4;500;500;335
